Category,Company,Website,Verified,Deal Types,Min Catalog/Artist Size,Genres/Specialty,Key Execs,Status/Closing,Broker-Friendly,Notes
Royalty Advance/Financing,Pipeline,pipeline.fund,Live-verified,B2B advances (no rights transfer),B2B (labels/distributors/PROs),All,Matt Spetzler (Jamen Capital),Active,Yes,$200M raised; launched Jan 2026; Merlin pact
Royalty Advance/Financing,Royalty Exchange,royaltyexchange.com,Carried-over,Marketplace auctions + advances,Low thousands+,All royalty types,Antony Bruno (Pres.),Active,Yes,$190M+ transacted; open intake
Royalty Advance/Financing,SongVest,songvest.com,Carried-over,Direct sales + fractional + 5-yr advances,Low,All,Sean Peace (CEO),Active,Yes,No commission on direct sales
Royalty Advance/Financing,ANote Music,anotemusic.com,Carried-over,EU marketplace (fractional),Catalog-level,All; EU bias,"Marzio Schena, Matteo Cernuschi",Active,Maybe,Luxembourg-based
Royalty Advance/Financing,OpenWav Artist Bank,openwav.com,Live-verified,Advances against streaming (keep rights),Up to 2x annual streaming; min $8k/yr,All,Wyclef Jean + Jaeson Ma,Active (~Apr 2026),Yes,Snafu-backed; 70/30 split during recoupment; 1-5 yr terms
Royalty Advance/Financing,RoyFi (via TuneCore),tunecore.com,Carried-over,Flat-fee advances,Varies,TuneCore artists,-,Active,Maybe,Embedded in TuneCore dashboard
Royalty Advance/Financing,Royalty Advance Funding,royaltyadvance.com,Carried-over,Cash advances + buyouts,Low,All,-,Active since 1988,Yes,-
Royalty Advance/Financing,Amuse Fast Forward,amuse.io,Carried-over,Data-driven advances,Small,All,-,Active,Maybe,Now incl YouTube royalties
Royalty Advance/Financing,Indify,indify.io,Carried-over,Investor matching,Emerging artists,All,Shav Garg (CEO),Active,Maybe,-
Royalty Advance/Financing,Lyric Financial,-,Live-verified,DEFUNCT,-,-,-,DEFUNCT - parent bankrupt Sept 2024,No,REMOVE - parent Utopia/Proper entered Swiss bankruptcy
Distributor+Advance,Too Lost,toolost.com,Live-verified,Distribution + advances + acquisitions,Up to ~$1M advances,"Hip-hop, Afrobeats, internet",Greg Hirschhorn (CEO); Jay Moore (CIO),Active,Yes,Jay Moore CIO May 2026; backed AntiFragile; partners Xposure
Distributor+Advance,Symphonic / Symphonic NEXT,symphonic.com/next,Live-verified,Distribution + financing + advances + acquisitions,~$25k LTM min up to multi-million,All,Jorge Brea (CEO),Active,Yes,Symphonic NEXT launched Apr 2026
Distributor+Advance,UnitedMasters,unitedmasters.com,Carried-over,Distribution + Select advances,Select tier,"Hip-hop, R&B",-,Active,Maybe,Brand sync angle
Distributor+Advance,Stem,stem.is,Carried-over,Distribution + Scale advances,Invite tier,Indie/hip-hop,-,Concord-owned,Maybe,Powers Giant Music
Distributor+Advance,Vydia / gamma.,vydia.com,Carried-over,Distribution + label deals + advances,Invite-only,"Hip-hop, Latin",-,Under Gamma,Maybe,-
Distributor+Advance,ONErpm,onerpm.com,Carried-over,Distribution + advances + label,Open,"Latin, hip-hop, global",-,Active,Maybe,-
Distributor+Advance,Venice Music,venice.tech,Carried-over,Distribution + label services,Mid,All,Troy Carter (co-founder),Active,Maybe,-
Distributor+Advance,Ditto Music,dittomusic.com,Carried-over,Distribution + advances + label,Open,All,-,Active,Maybe,UK-based
Distributor+Advance,Believe / TuneCore,believe.com,Carried-over,Distribution + advances + label,Open,All,Thomas Maxwell (US),Active,Maybe,US Label & Artist Solutions 2026; RoyFi advances
Distributor+Advance,The Orchard (Sony),theorchard.com,Carried-over,Distribution + label services + capital,Mid-large indies,All,Brad Navin (CEO),Active,Maybe,-
Distributor+Advance,ADA (WMG),ada-music.com,Carried-over,Distribution + capital,Mid-large,All,-,Active,Maybe,Includes Revelator + 10K
Distributor+Advance,Virgin Music Group (UMG),virginmusic.com,Live-verified,Distribution + label deals + advances,Mid-large,All,JT Myers + Nat Pastor (co-CEOs); Pieter van Rijn (COO),Active,Maybe,Closed Downtown buy Feb 20 2026
Distributor+Advance,LabelWorx Elevate,labelworx.com,Carried-over,Funding + promo for indie electronic labels,Label-level,EDM/electronic,-,Active,Maybe,-
Sync/Publishing,Position Music,positionmusic.com,Carried-over,Sync + publishing + label,-,All,-,Active,Maybe,WARNING frequent impersonation - verify via official channels
Sync/Publishing,Marmoset,marmosetmusic.com,Carried-over,Sync licensing,-,All,-,Active,Maybe,Indie-friendly curated
Sync/Publishing,Musicbed,musicbed.com,Carried-over,Sync licensing,-,All,-,Active,Maybe,High-volume
Sync/Publishing,Songtradr / MassiveMusic,songtradr.com,Carried-over,Sync + rights mgmt,-,All,-,Active,Maybe,Owns MassiveMusic; impersonation risk - verify directly
Sync/Publishing,Audiosocket,audiosocket.com,Carried-over,Sync licensing,-,Indie sync,-,Active,Maybe,-
Sync/Publishing,Epidemic Sound,epidemicsound.com,Carried-over,Subscription sync,-,All,-,Active,No,Doesn't accept AI
Sync/Publishing,Artlist,artlist.io,Carried-over,Subscription sync,-,All,-,Active,No,-
Sync/Publishing,Songtrust (UMG),songtrust.com,Carried-over,Publishing admin (NOT a buyer),Open,All,-,Active,No,Admin only
Sync/Publishing,Sentric Music (Believe),sentricmusic.com,Carried-over,Admin + select advances,Open,All,-,Active,Maybe,-
Sync/Publishing,Wixen Music Publishing,wixenmusic.com,Carried-over,Admin + select acquisitions,Mid,Songwriter-focused,-,Active,No,Does NOT accept unsolicited submissions
Sync/Publishing,peermusic,peermusic.com,Carried-over,Pub buyouts + admin,Mid,Latin strong,-,Active,Maybe,Independent since 1928
Sync/Publishing,Kobalt / KOSIGN,kobaltmusic.com,Live-verified,Admin + advances + select acquisitions,Mid,"Pop, hip-hop",-,Being acquired by Primary Wave - closes Q3 2026,Maybe,Still operating; KOSIGN = indie self-serve
Database/Tool,Billboard Pro Buyers Directory,billboard.com/pro/buyers-directory,Carried-over,Curated buyer list + execs + phones,-,All,-,Active,-,Paywalled; gold standard
Database/Tool,Billboard Pro Dealmakers Directory,billboard.com/pro/dealmakers-directory,Carried-over,Brokers/attorneys/advisors,-,All,-,Active,-,Paywalled
Database/Tool,Pitchbook,pitchbook.com,Carried-over,Filter Music + Acquisitions,-,All,-,Active,-,Best for PE-side; subscription
Database/Tool,Crunchbase,crunchbase.com,Carried-over,Filter Music + acquisition,-,All,-,Active,-,Free tier limited
Database/Tool,CB Insights,cbinsights.com,Carried-over,Filter music investors,-,All,-,Active,-,Subscription
Database/Tool,Inven.ai,inven.ai,Carried-over,AI buyer-list builder,-,All,-,Active,-,Newer tool
Database/Tool,Royalty Exchange,royaltyexchange.com,Carried-over,Live listings by stream type,-,All,-,Active,-,Marketplace
Database/Tool,Rostr,rostr.cc,Carried-over,Filter Publisher/Label only,-,All,-,Active,-,No acquisition tag (known gap)
Database/Tool,Chartmetric,chartmetric.com,Carried-over,Artist analytics (buyer DD),-,All,-,Active,-,For target screening
Database/Tool,Citrin Cooperman Music Valuation,citrincooperman.com,Carried-over,Valuator (not DB),-,All,-,Active,-,Valued 566 catalogs 2025; knows everyone
Database/Tool,Green Street / Asset-Backed Alert,greenstreetnews.com,Carried-over,Tracks ABS issuers,-,All,-,Active,-,Subscription
Broker/Advisor,The Superstar Brokers,thesuperstarbrokers.com,Carried-over,Sell-side advisory,-,All,-,Active,Yes,-
Broker/Advisor,Globos Management,globosmanagement.com,Carried-over,Brokerage + label/pub,-,All,Alberto Ciccarini (CEO),Active,Yes,Italy-based
Broker/Advisor,EDM Publishing,-,Carried-over,EDM brokerage + publisher,-,EDM,-,Active,Yes,-
Broker/Advisor,Range Media Partners,rangemp.com,Carried-over,Catalog advisory,-,All,Allen Winiker,Active,Yes,Worked Weeknd deal
Broker/Advisor,Shot Tower Capital,shottower.com,Carried-over,M&A advisory,-,All,-,Active,No (high-end),Advised Recognition + Blackstone on Sony deal
Broker/Advisor,The Raine Group,raine.com,Live-verified,M&A advisory,-,All,-,Active,No (high-end),Led Duetti Series C Jan 2026; advised Opus
Broker/Advisor,MESA,mesallc.com,Carried-over,Music M&A,-,All,-,Active,Maybe,-
New Lead,GoldState Music,-,Live-verified,Catalog investor,-,All,-,Active,Maybe,Co-led strategic investment in Too Lost (w/ TA Associates)
New Lead,AntiFragile Equity Partners,-,Live-verified,Catalog acquisition startup,-,All,-,Active,Maybe,Too Lost took 7-figure stake
New Lead,Xposure Music,-,Live-verified,ML-driven catalog financing/investment,-,All,-,Active,Maybe,Too Lost commercial partner
New Lead,Sony Music Group / GIC partnership,sonymusic.com,Live-verified,Institutional catalog acquisitions,Large,Marquee catalogs,-,Active (formed Jan 28 2026),No,Vehicle behind Recognition deal
